,Date,Piligrims,Tonsures,Hundi,Speciality,Temperature,Condition,ttd online darshan tickets: (Worldwide),Tirupati: (Worldwide),Tirumala: (Worldwide),VIP darshan: (Worldwide),How to reach Tirupati: (Worldwide),ttd sarva darshan tickets: (Worldwide),ttd free darshan online booking availability: (Worldwide),apsrtc tirumala darshan tickets: (Worldwide),apsrtc ttd 300 tickets: (Worldwide),ksrtc tirupati package: (Worldwide),srinivasam complex: (Worldwide),tirumala darshan tickets: (Worldwide),tirumala darshan: (Worldwide),tirupati balaji.ap.gov.in: (Worldwide),tirupati darshan 500 rupees ticket: (Worldwide),ttd free darshan online booking availability: (Worldwide)
218,2022-07-08,74830,32604,4.11,0,84,962,4,57,28,0,0,0,0,0,0,0,26,16,17,14,21,0
219,2022-08-08,64425,31473,4.99,0,82,1275,6,55,27,27,26,0,0,16,0,0,0,12,19,5,0,0
220,2022-09-08,77277,32894,3.77,0,82,1275,7,61,26,16,0,0,11,0,0,0,0,9,13,6,0,11
221,2022-10-08,74497,39545,4.04,0,82,1291,6,67,32,31,29,27,0,0,0,0,0,0,20,11,0,0
222,2022-11-08,63754,39405,4.79,0,84,2339,8,60,28,32,0,21,8,0,0,0,0,0,13,0,29,8
223,2022-12-08,64079,29476,4.55,7,86,1275,6,60,33,26,0,0,8,22,0,0,0,0,15,0,0,8
224,13/08/2022,83422,31272,4.36,6,86,1291,5,61,29,35,0,13,0,0,0,0,0,18,11,0,0,0
225,14/08/2022,92328,36244,5.15,0,90,1291,10,55,28,12,0,0,0,0,0,0,0,0,15,8,0,0
226,15/08/2022,87692,30790,3.63,5,91,972,4,53,27,28,0,0,0,52,0,0,0,0,16,0,0,0
227,16/08/2022,72851,32852,3.52,1,91,1324,0,64,30,15,0,17,6,0,0,0,0,7,14,5,0,6
228,17/08/2022,83880,50100,4.27,0,91,1291,0,68,37,43,0,0,0,25,0,0,0,24,12,0,58,0
229,18/08/2022,70674,52969,4.36,0,91,1291,10,61,37,34,0,0,8,0,35,0,0,12,30,0,0,8
230,19/08/2022,64438,36832,5.3,5,90,962,14,55,32,100,0,19,0,19,0,40,0,0,30,0,0,0
231,20/08/2022,79836,34404,4.73,0,91,2689,4,60,34,10,0,0,0,0,0,0,16,7,22,12,0,0
232,21/08/2022,81523,38710,5.86,0,95,1291,9,59,33,27,24,0,0,0,0,0,0,6,17,15,0,0
233,22/08/2022,72804,35930,4.53,0,91,1291,10,67,44,17,0,0,0,0,39,0,0,32,38,26,44,0
234,23/08/2022,68467,34361,4.53,2,91,1291,6,61,32,26,27,0,0,34,0,0,0,12,16,7,100,0
235,24/08/2022,74748,35916,4.56,1,91,1291,9,70,38,28,0,0,0,0,0,0,0,17,14,0,0,0
236,25/08/2022,68128,37100,4.65,0,90,2802,0,59,35,18,50,19,0,21,0,0,0,0,16,0,0,0
237,26/08/2022,69012,39142,4.82,0,93,962,10,58,29,45,0,0,0,15,0,62,0,9,18,19,0,0
238,27/08/2022,80312,35506,4.67,7,95,1324,14,57,26,0,0,0,0,0,0,33,0,11,16,17,0,0
239,28/08/2022,74297,39086,4.45,3,86,1878,10,60,34,0,45,0,0,0,0,0,25,37,25,26,0,0
240,29/08/2022,67950,34021,4.44,5,88,2229,11,61,29,33,31,0,8,0,0,0,0,5,15,13,46,8
241,30/08/2022,64336,29195,4.59,0,90,2229,0,63,32,23,32,0,0,15,0,0,21,6,20,0,0,0
242,31/08/2022,66086,29538,5.14,4,88,1291,6,62,33,12,0,0,0,0,0,0,18,23,17,19,47,0
243,2022-01-09,63332,27317,3.96,0,88,2229,7,54,30,28,29,0,14,0,0,0,31,13,14,35,0,14
244,2022-02-09,67525,31407,4.74,5,84,2229,5,54,32,25,0,0,0,0,0,29,26,8,11,9,31,0
245,2022-03-09,79833,25487,4.35,5,86,962,13,50,30,56,0,0,21,0,0,0,23,15,21,20,0,21
246,2022-04-09,71158,27305,3.72,5,84,962,12,49,29,21,0,0,0,0,0,0,30,48,11,11,0,0
247,2022-05-09,67843,26656,2.86,0,81,962,15,59,39,20,37,0,0,27,27,0,100,26,31,9,33,0
248,2022-06-09,69115,31484,4.24,2,84,972,9,58,40,25,92,0,0,0,0,1,0,17,16,25,0,0
249,2022-07-09,65470,36074,4.73,2,88,1291,0,63,47,47,0,0,0,0,0,0,25,17,35,32,0,0
250,2022-08-09,60946,27968,3.73,3,86,1275,11,57,39,58,0,0,0,0,0,1,0,23,22,15,100,0
251,2022-09-09,64292,31817,3.88,0,91,972,0,59,41,35,0,0,62,0,0,0,20,12,26,0,0,62
252,2022-10-09,80741,31762,4.93,5,86,2229,8,59,36,42,43,0,16,0,0,6,19,54,22,0,0,16
253,2022-11-09,86793,29899,3.84,6,81,2229,16,59,38,61,28,0,31,0,0,0,0,13,20,54,0,31
254,2022-12-09,74231,28638,3.75,5,81,2339,12,59,36,27,0,32,0,0,0,0,0,0,21,0,0,0
255,13/09/2022,75175,30641,3.72,5,82,962,28,60,44,16,71,0,0,0,0,0,0,31,28,17,0,0
256,14/09/2022,65634,41494,4.22,5,84,1878,14,74,48,46,50,0,0,0,0,0,0,24,26,0,0,0
257,15/09/2022,60946,30254,4.47,2,86,1291,0,62,44,56,42,0,0,0,0,0,0,14,24,26,51,0
258,16/09/2022,67425,33591,5.14,0,88,962,15,61,42,50,0,0,0,0,0,0,19,0,22,0,0,0
259,17/09/2022,82392,31979,4.05,5,90,1291,10,59,33,9,0,0,18,16,16,0,0,10,15,0,0,18
260,18/09/2022,88924,31419,4,5,88,962,20,66,41,14,40,0,0,0,0,1,0,14,30,0,90,0
261,19/09/2022,67276,28638,4.43,0,88,1291,13,62,42,14,0,0,0,17,17,0,52,10,28,20,0,0
262,20/09/2022,73186,32693,4.86,2,88,972,0,67,49,16,0,0,0,0,0,2,0,10,25,23,0,0
263,21/09/2022,74817,41800,4.59,1,90,1291,8,74,47,61,86,0,0,0,0,0,18,12,27,19,31,0
264,22/09/2022,65187,34282,3.72,5,90,1291,10,64,44,18,0,0,41,0,0,1,15,27,23,0,0,41
265,23/09/2022,65158,31140,5.71,0,90,1291,0,64,46,14,0,0,48,0,0,1,0,22,36,0,0,48
266,24/09/2022,69650,27365,4.6,3,90,1291,20,62,50,29,0,0,0,0,0,0,0,22,25,38,0,0
267,25/09/2022,52682,33350,2.97,7,91,862,47,83,83,13,95,0,35,0,0,0,24,43,60,56,0,35
268,26/09/2022,51308,27877,5.37,0,90,1291,0,67,55,30,40,0,22,21,21,0,14,34,26,54,0,22
269,27/09/2022,64823,28416,4.44,0,91,1291,0,66,43,0,42,0,0,0,0,1,0,8,16,9,0,0
270,28/09/2022,61879,20409,4.51,5,93,1291,0,74,56,40,78,86,0,0,0,1,16,20,30,0,37,0
271,29/09/2022,60946,15805,5.57,4,90,1878,17,69,42,16,0,0,0,0,0,0,33,15,16,11,0,0
272,30/09/2022,75382,18812,2.03,5,90,2229,40,68,64,22,0,0,0,0,0,0,19,22,25,40,0,0
273,2022-01-10,81318,22890,3.03,6,77,1291,20,61,44,23,0,0,19,0,0,1,0,17,27,0,0,19
274,2022-02-10,70848,24634,1.82,0,83,432,0,57,40,0,0,33,0,0,0,1,0,45,19,37,27,0
275,2022-03-10,82815,28638,2.48,0,80,432,16,64,48,25,25,0,0,0,0,1,50,39,26,30,40,0
276,2022-04-10,68539,31424,2.85,0,77,1291,18,66,49,12,0,29,29,0,0,0,13,17,18,0,0,29
277,2022-05-10,63579,38464,2.94,0,81,1521,0,70,58,14,77,0,30,0,0,0,0,30,26,0,0,30
278,2022-06-10,72195,29957,2.98,1,86,1291,0,56,45,11,0,0,20,0,0,1,0,0,17,0,0,20
279,2022-07-10,70007,27147,3.05,1,90,1291,0,57,35,22,0,0,19,0,0,0,15,9,18,0,0,19
280,2022-08-10,81034,22177,2.9,5,91,1291,9,53,35,17,43,30,0,0,0,1,17,20,19,0,0,0
281,2022-09-10,86188,34524,1.95,6,88,962,0,53,40,37,38,29,0,0,0,0,0,24,16,11,0,0
282,2022-10-10,83223,41071,2.17,5,86,962,0,66,46,28,0,0,23,0,0,1,23,0,20,0,0,23
283,2022-11-10,77956,42866,4.25,7,84,1275,9,67,53,37,46,0,28,0,0,1,0,38,25,34,0,28
284,2022-12-10,79370,47312,4.24,6,84,2229,8,76,61,33,0,0,0,0,0,0,0,36,38,15,39,0
285,13/10/2022,72216,41032,5,6,84,1275,9,63,55,49,0,0,0,0,0,0,0,38,43,23,0,0
286,14/10/2022,68675,36658,4.73,0,84,1275,13,65,45,24,0,0,0,0,0,1,0,0,45,42,35,0
287,15/10/2022,81535,33672,3.88,1,84,1275,18,65,40,19,46,0,0,0,0,0,0,16,25,24,0,0
288,16/10/2022,84794,39199,4.25,0,86,1878,15,58,41,43,48,0,0,0,0,1,0,11,38,0,32,0
289,17/10/2022,70067,32338,5.65,2,86,1878,0,58,39,20,0,0,0,0,0,2,0,10,17,0,0,0
290,18/10/2022,73420,32533,3.82,1,86,962,13,63,42,0,25,0,0,0,0,0,0,0,24,0,49,0
291,19/10/2022,72243,37357,4.08,0,84,1275,12,70,51,11,35,29,0,0,0,0,14,0,39,21,0,0
292,20/10/2022,62725,35560,4.67,0,86,1998,27,58,45,31,28,43,0,16,16,0,16,28,22,15,88,0
293,21/10/2022,62203,33092,4.61,3,86,2689,0,57,40,0,0,0,0,0,0,1,0,30,33,0,26,0
294,22/10/2022,78299,27621,4.28,5,86,1275,0,57,39,22,48,0,77,0,0,0,0,32,19,0,0,77
295,23/10/2022,80565,32652,4.41,0,86,1275,24,58,40,21,0,22,0,0,0,0,13,21,23,22,0,0
296,24/10/2022,69278,30172,5.85,6,86,2689,22,64,43,23,0,0,0,0,0,0,12,0,18,11,29,0
297,25/10/2022,25549,29100,3.91,7,84,962,0,68,56,10,0,0,0,0,0,0,0,16,32,30,0,0
298,26/10/2022,71689,34625,3.93,0,84,1291,23,67,53,15,0,0,0,27,27,0,0,9,27,31,0,0
299,27/10/2022,67439,31608,6.31,6,84,862,10,54,38,46,0,0,0,0,0,1,0,24,24,23,30,0
300,28/10/2022,63512,17660,4.15,5,84,862,0,38,29,19,30,0,0,0,0,0,0,0,15,20,0,0
301,29/10/2022,84878,9764,4.25,5,86,862,20,59,38,16,54,0,0,0,0,1,0,18,24,0,75,0
302,30/10/2022,70848,28640,4.42,0,84,862,64,64,53,23,27,28,26,0,0,0,27,48,47,17,31,26
303,31/10/2022,70560,29450,4.6,5,84,972,12,62,43,69,0,0,41,22,22,0,16,16,20,14,0,41
304,2022-01-11,72176,35549,3.72,0,77,2689,0,75,51,73,50,0,24,48,48,2,13,31,40,28,0,24
305,2022-02-11,68995,41016,3.86,5,82,962,19,77,56,32,0,0,0,0,0,100,28,19,31,37,0,0
306,2022-03-11,70263,29957,4.02,0,81,1291,15,63,53,27,0,0,45,0,0,0,0,0,27,0,44,45
307,2022-04-11,63670,29751,4.18,0,82,740,0,64,46,0,69,0,73,0,0,1,45,35,31,0,50,73
308,2022-05-11,82604,25549,4.12,0,73,2339,14,67,48,0,28,0,0,0,0,0,0,16,48,19,24,0
309,2022-06-11,84211,29037,3.71,0,73,2339,0,62,43,16,0,0,31,44,44,0,0,12,34,11,0,31
310,2022-07-11,74094,28965,4.53,0,79,1878,15,67,45,39,50,0,0,0,0,0,39,24,34,23,33,0
311,2022-08-11,22423,30475,3.79,5,82,962,0,64,42,28,0,0,0,0,0,3,0,18,30,11,0,0
312,2022-09-11,66946,37025,5.57,5,82,972,28,69,50,33,0,25,27,0,0,0,0,19,46,0,0,27
313,2022-10-11,61304,30906,4.2,0,82,862,14,65,50,13,25,0,0,16,16,0,20,9,24,0,0,0
314,2022-11-11,57104,21475,4.52,6,82,862,24,65,42,21,0,33,0,37,37,0,0,35,27,8,0,0
315,2022-12-11,73323,9679,4.61,6,82,972,22,69,48,43,35,100,20,0,0,1,0,23,33,13,56,20
316,13/11/2022,81130,26990,4.73,5,82,972,0,56,49,31,0,0,38,0,0,2,0,41,40,0,0,38
317,14/11/2022,69814,30133,3.46,0,82,1878,19,67,45,25,0,0,0,0,0,0,15,23,24,0,0,0
318,15/11/2022,71461,32351,4.66,0,73,1998,66,98,85,17,0,0,46,0,0,0,0,60,87,71,0,46
319,16/11/2022,74412,41041,3.2,3,75,740,39,84,70,57,34,60,0,100,100,0,0,51,48,0,0,0
320,17/11/2022,60861,29464,4.85,0,79,962,0,72,48,24,0,0,0,0,0,0,15,0,28,20,38,0
321,18/11/2022,61731,29228,4.17,3,81,1275,25,71,44,25,0,0,23,0,0,0,0,0,25,26,0,23
322,19/11/2022,79471,26631,4.77,0,81,972,10,65,52,13,0,0,0,0,0,2,17,39,37,18,0,0
323,20/11/2022,80294,27626,4.27,0,81,862,30,71,78,52,95,52,0,0,0,1,15,52,51,69,0,0
324,21/11/2022,70163,28519,4.41,0,81,972,21,64,44,32,61,35,0,0,0,0,0,46,31,20,0,0
325,22/11/2022,69587,30254,4.53,0,79,1291,0,70,48,31,0,0,48,27,27,1,0,13,24,13,0,48
326,23/11/2022,74354,36594,4.9,5,79,1291,33,73,58,56,37,0,0,0,0,1,22,66,39,13,92,0
327,24/11/2022,66072,31554,4.48,5,75,1291,20,60,44,62,27,51,0,21,21,1,0,29,27,0,0,0
328,25/11/2022,60157,31489,5.22,5,70,740,0,63,41,51,0,0,0,0,0,33,0,18,38,17,0,0
329,26/11/2022,73831,28645,4.35,5,73,1998,9,58,39,38,50,21,36,0,0,0,0,15,23,32,0,36
330,27/11/2022,70848,23931,4.68,4,75,1275,10,61,44,0,0,0,25,0,0,1,0,21,24,26,0,25
331,28/11/2022,67468,25239,4.23,5,82,1878,24,63,50,43,35,0,0,0,0,0,0,0,26,25,33,0
332,29/11/2022,69211,31445,4,5,81,1291,0,61,47,27,36,52,0,32,32,1,0,15,33,12,0,0
333,30/11/2022,69640,34443,4.49,0,82,962,0,63,46,23,0,0,0,0,0,0,0,16,20,22,0,0
334,2022-01-12,65568,29957,5.02,6,84,1324,13,60,44,30,0,57,0,0,0,1,0,0,26,0,0,0
335,2022-02-12,64586,36082,4.16,6,84,862,14,62,40,17,0,0,54,0,0,1,0,25,31,90,0,54
336,2022-03-12,63931,26764,5.11,5,82,1291,16,63,43,33,47,22,0,0,0,1,0,15,25,23,0,0
337,2022-04-12,80001,28649,4.65,0,81,972,0,53,41,35,0,0,36,0,0,1,14,24,34,22,0,36
338,2022-05-12,66020,25144,4.26,0,82,2689,11,57,45,32,0,35,21,0,0,0,37,61,32,0,0,21
339,2022-06-12,64162,27501,3.9,7,84,1324,20,56,38,18,0,56,17,0,0,0,0,18,28,26,76,17
340,2022-07-12,51376,34813,3.48,0,84,1324,14,70,52,36,0,0,35,0,0,2,0,26,29,0,0,35
341,2022-08-12,54609,32967,4.07,7,82,1291,0,56,42,40,0,0,18,30,30,0,22,23,29,20,0,18
342,2022-09-12,57581,29195,4.37,6,82,972,35,60,42,58,85,0,60,16,16,2,0,11,27,22,0,60
343,2022-10-12,69383,23709,5.38,6,82,1291,26,59,40,0,0,24,34,17,17,0,0,18,30,10,0,34
344,2022-11-12,72466,24878,4.6,6,79,1291,24,58,36,84,0,0,0,0,0,1,29,38,17,14,27,0
345,2022-12-12,65466,26718,3.39,5,75,1878,26,59,46,29,49,0,0,0,0,0,0,19,22,0,0,0
346,13/12/2022,63214,27021,3.12,0,66,1998,23,67,46,26,0,0,24,67,67,0,0,20,33,11,51,24
347,14/12/2022,59752,32391,3.75,5,73,2339,18,76,56,18,0,0,24,0,0,1,17,21,31,37,0,24
348,15/12/2022,48928,28123,4.29,5,79,1878,19,71,54,36,0,0,0,0,0,0,0,12,26,14,0,0
349,16/12/2022,61731,26174,3.27,0,75,1998,46,78,60,9,0,0,63,0,0,1,0,46,47,56,0,63
350,17/12/2022,64107,23147,5.5,0,81,1275,8,70,56,48,88,0,0,0,0,0,0,16,41,43,0,0
351,18/12/2022,75611,26000,3.65,0,81,972,15,62,44,8,0,50,0,0,0,1,0,33,23,54,0,0
352,19/12/2022,63759,23322,3.63,0,79,862,10,59,41,31,43,0,0,0,0,0,0,25,43,0,0,0
353,20/12/2022,63366,30254,3.61,5,81,1324,37,71,47,43,0,0,22,0,0,1,26,58,39,29,0,22
354,21/12/2022,68469,30482,3.79,0,81,862,14,70,46,21,30,0,0,0,0,0,18,18,24,26,0,0
355,22/12/2022,63145,29228,3.55,0,79,1878,9,62,43,34,0,0,40,0,0,0,0,23,35,54,46,40
356,23/12/2022,62055,30102,3.4,7,77,862,33,65,40,52,27,0,0,0,0,1,32,18,39,28,0,0
357,24/12/2022,71528,24494,5.3,0,77,862,42,66,49,28,0,0,29,0,0,0,17,47,37,26,47,29
358,25/12/2022,70373,27025,4.14,0,79,1291,29,72,50,36,0,0,0,0,0,0,0,34,33,19,0,0
359,26/12/2022,62152,22411,4.39,6,79,1291,51,70,57,43,0,66,75,0,0,0,0,47,43,47,0,75
360,27/12/2022,70496,23044,3.99,4,79,1324,45,80,63,55,0,0,0,43,43,1,0,25,52,0,0,0
