,Date,Piligrims,Tonsures,Hundi,Speciality,Temperature,Condition,ttd online darshan tickets: (Worldwide),Tirupati: (Worldwide),Tirumala: (Worldwide),VIP darshan: (Worldwide),How to reach Tirupati: (Worldwide),ttd sarva darshan tickets: (Worldwide),ttd free darshan online booking availability: (Worldwide),apsrtc tirumala darshan tickets: (Worldwide),apsrtc ttd 300 tickets: (Worldwide),ksrtc tirupati package: (Worldwide),srinivasam complex: (Worldwide),tirumala darshan tickets: (Worldwide),tirumala darshan: (Worldwide),tirupati balaji.ap.gov.in: (Worldwide),tirupati darshan 500 rupees ticket: (Worldwide),ttd free darshan online booking availability: (Worldwide)
54,24/02/2022,53740,20527,3.06,6,90,862,14,46,26,0,43,0,0,0,35,30,0,25,23,5,35,0
55,25/02/2022,56559,21846,3.4,0,91,1324,6,47,28,9,0,0,5,0,20,0,0,21,17,6,0,5
56,26/02/2022,65704,17778,3.1,5,90,862,8,46,30,26,0,0,21,0,0,0,52,33,29,12,0,21
57,27/02/2022,68095,22009,2.72,0,86,1324,100,100,100,60,0,87,100,0,0,17,30,100,100,100,0,100
58,28/02/2022,55532,26977,3.21,6,86,972,19,59,38,0,24,14,27,0,0,67,0,27,24,13,0,27
59,2022-01-03,53163,28751,5.41,0,86,862,12,58,32,30,0,0,9,0,0,18,33,8,20,12,0,9
60,2022-02-03,46172,33187,3.67,0,86,862,7,58,38,16,35,25,13,0,0,0,0,23,25,13,34,13
61,2022-03-03,50511,29050,3.94,6,88,862,13,53,39,30,0,0,22,0,0,0,54,9,19,0,25,22
62,2022-04-03,56686,25114,4.33,6,88,862,18,57,44,17,0,17,14,0,0,0,36,30,26,16,0,14
63,2022-05-03,67750,20651,4.51,0,88,972,3,47,27,20,0,13,20,0,23,0,20,15,15,0,27,20
64,2022-06-03,61052,19395,3.33,0,88,1324,15,47,28,25,23,0,13,0,0,17,20,18,12,0,33,13
65,2022-07-03,57904,22089,3.63,6,84,1291,0,47,27,26,0,0,0,14,0,0,13,10,13,0,19,0
66,2022-08-03,58561,27997,2.93,5,86,1291,5,54,25,26,0,0,18,0,0,23,28,15,11,0,0,18
67,2022-09-03,59086,30192,3.13,1,86,862,0,49,32,27,28,0,28,0,28,0,0,11,16,22,0,28
68,2022-10-03,61620,27500,4.57,3,84,1291,5,49,24,24,0,0,15,21,44,0,20,10,12,0,0,15
69,2022-11-03,65192,26877,4.06,6,86,1291,0,49,26,51,0,19,0,0,0,74,0,16,16,0,0,0
70,2022-12-03,71069,25401,4.01,5,90,862,14,49,22,12,0,36,29,0,0,59,17,0,11,0,0,29
71,13/03/2022,74167,28701,3.81,0,90,862,5,46,24,0,0,0,11,0,0,20,0,17,12,0,0,11
72,14/03/2022,61982,28988,4.36,5,90,1324,6,48,23,32,0,0,6,0,0,0,48,12,13,6,0,6
73,15/03/2022,61654,32592,4.41,5,90,862,6,51,26,18,0,55,23,0,0,0,0,9,9,0,52,23
74,16/03/2022,64368,34741,4.45,0,91,972,3,55,28,21,44,0,7,0,19,0,0,7,8,0,0,7
75,17/03/2022,66577,33976,4.52,6,91,1291,4,48,25,49,60,19,7,0,0,0,0,13,15,0,20,7
76,18/03/2022,66763,27400,3.88,7,93,862,19,47,22,0,24,0,23,32,0,31,0,23,12,0,0,23
77,19/03/2022,72265,25920,4.25,0,93,1291,4,48,22,0,19,0,0,17,0,0,13,15,14,0,0,0
78,20/03/2022,70408,31179,4.52,0,93,1291,8,49,23,25,0,0,22,0,0,19,0,16,11,0,0,22
79,21/03/2022,64425,31471,3.97,6,95,1291,7,53,26,19,0,0,0,0,0,23,0,34,15,4,0,0
80,22/03/2022,69711,33133,4.29,5,97,862,3,52,32,0,0,0,0,0,0,18,13,13,19,17,0,0
81,23/03/2022,64986,34517,4.59,0,97,972,8,62,40,13,0,19,0,0,0,0,0,15,23,9,0,0
82,24/03/2022,63042,34932,4.63,0,88,1878,27,71,51,28,24,19,26,0,27,0,0,57,37,97,0,26
83,25/03/2022,65418,29476,4.51,0,91,1324,38,90,82,24,22,25,33,18,35,0,17,45,52,71,61,33
84,26/03/2022,69897,30871,4.41,0,93,1291,24,75,53,12,19,28,22,23,0,30,46,22,27,63,0,22
85,27/03/2022,71167,33200,4.28,0,97,1291,4,69,42,12,0,0,28,0,23,0,19,24,25,21,0,28
86,28/03/2022,64425,31218,4.18,5,95,1291,8,60,40,15,0,0,17,28,0,46,23,13,13,28,0,17
87,29/03/2022,54396,33451,4.41,0,95,972,0,59,38,20,19,17,13,0,0,41,23,9,12,20,46,13
88,30/03/2022,61224,38099,3.92,0,97,972,17,79,71,15,86,0,36,0,0,0,100,36,30,47,0,36
89,31/03/2022,54273,34688,4.46,0,97,862,10,59,40,24,0,0,13,0,0,32,17,16,15,0,0,13
90,2022-01-04,56958,29476,4.43,6,99,862,15,52,36,19,24,0,35,17,33,0,21,19,22,4,0,35
91,2022-02-04,62925,29334,4.37,5,99,972,4,52,33,13,36,0,6,0,28,0,0,8,14,0,0,6
92,2022-03-04,71034,33930,4.02,5,99,862,5,50,31,26,0,0,8,18,0,0,0,11,21,14,87,8
93,2022-04-04,66112,28089,4.08,0,100,862,0,49,28,9,0,0,5,0,0,0,0,5,13,4,0,5
94,2022-05-04,61654,26029,3.35,0,97,862,7,55,28,15,0,0,19,0,32,0,0,19,16,6,0,19
95,2022-06-04,68009,33893,4.27,0,97,862,8,57,31,14,0,0,0,0,0,45,13,11,18,10,0,0
96,2022-07-04,65840,32291,3.38,0,97,862,5,56,32,35,0,0,6,46,0,0,19,7,11,12,0,6
97,2022-08-04,60790,35727,4.64,0,97,1324,8,56,30,18,28,12,14,0,0,0,11,15,14,4,0,14
98,2022-09-04,70727,25920,4.35,0,95,862,4,52,28,8,0,42,18,0,0,0,16,5,10,0,0,18
99,2022-10-04,66593,39518,4.1,0,95,1291,5,53,27,24,46,0,0,14,0,0,14,5,14,0,30,0
100,2022-11-04,63223,34135,4.19,0,95,862,7,55,27,36,0,29,0,0,0,46,14,8,14,0,0,0
101,2022-12-04,72567,35106,4.36,6,95,862,6,57,31,0,0,0,10,0,0,0,22,19,21,19,0,10
102,13/04/2022,88748,38970,3.88,0,93,862,4,62,32,11,24,0,0,0,69,34,0,17,17,0,21,0
103,14/04/2022,82722,31206,3.79,6,93,1291,3,51,32,33,40,0,16,0,0,41,0,16,16,0,0,16
104,15/04/2022,75110,34547,4.72,7,93,1291,0,56,25,9,0,0,17,0,0,21,0,18,14,6,0,17
105,16/04/2022,76746,40468,4.32,7,95,1291,8,54,31,35,75,0,13,0,0,0,0,23,25,6,0,13
106,17/04/2022,68299,38558,4.82,0,91,1291,0,59,33,17,0,0,14,0,0,0,0,21,14,0,49,14
107,18/04/2022,64157,33678,5.11,6,97,972,9,58,32,24,31,0,15,49,25,0,0,7,12,7,0,15
