,Date,Piligrims,Tonsures,Hundi,Special Day,Temperature,Condition,Tweets
23,24/01/2022,"27,223","14,624",Rs. 1.87 Cr,normal,+86°,Broken clouds,[]
24,25/01/2022,"28,745","13,553",Rs. 2.14 Cr,normal,+82°,Few clouds,"['\nFired up to be on post! ', '\nWelcome to the Family\n28\n20\n257']"
25,26/01/2022,"27,446","13,403",Rs.1.77 Cr,Republic Day. Sri T.T Adhyayanotsavam Ends,+81°,Broken clouds,['\n??????: ???????? ???\u200c????\u200c?? ?????\u200c?\u200c?? ???????? ?????????? ?\u200c???\u200c? ???????\u200c?? ?????\u200c? ???\u200c????? ??????.. ?????? 12 ??? ??????? ????\u200c???? ???\u200c????? ?\u200c???\u200c?? ???????? ???\u200c????\u200c?? ?????\u200c????? ??????']
26,27/01/2022,"27,536","13,635",Rs.2.09 Cr,normal,+79°,Light intensity shower rain,[]
27,28/01/2022,"24,888","12,650",Rs.2.10 Cr,Ekadasi,+79°,Few clouds,"['\n???????: ????????? ???? ????? ??????? ?????? ??????????? ?????? ??????? ???? ????????????. ????????? ??????? ????? ???? ??????? ???? ?????? ??????? ????? ?????? ??????. ???? ???? ???\u200c?? ????\u200c ????? ?????? ?????? ????? ???????????????? ?????????. ', '\n?????\u200c?\u200c: ???\u200c????\u200c?? ???????? ???\u200c????? ?\u200c???\u200c? ???????\u200c?? ???????\u200c. 40 ???????????? ???????  ?????\u200c?\u200c?? ???? ???\u200c????? ?\u200c???\u200c?? ????????.  ?????? 12 ???? ??????? ???????? ?????\u200c? ????? ??????.   ']"
28,29/01/2022,"28,234","12,466",Rs.2.30 Cr,normal,+79°,Overcast clouds,"['\nNo Money, no Darshan policy by ', '\n?????? ?????? ?????????? 24,888 ???? ??????? ????????????????. ???????? ?????????? 12,650 ???? ???????. ????? ???????? ????? ????? ??. 2.1 ??????']"
29,30/01/2022,"27,896","11,135",Rs.2.41 Cr,Masasivaratri,+84°,Few clouds,['\n??????? ?? ']
30,31/01/2022,"26,401","12,401",Rs.2.18 Cr,normal,+86°,Few clouds,[]
31,01/02/2022,"29,496","12,210",Rs.1.97 Cr,"Amavasya, Tirumala Sri T.T Adhyayanotsavam Begins",+86°,Broken clouds,"['\n??????:\n?????? ??????????? ??????. \n????? ????? ????????? ??? ?????? ?????????. \n???????? ???????? ???? ????????? ??????? ????????? ????????? ????. \n17? ????? ????????? ????????? ???? ???? ?? ???????. \n???????? ????? ???? ????? ?????? ????????? ??????.', '\n?????? ?????? ??????????  26,401 ???? ??????? ????????????????. ???????? ?????????? ???? 12,401 ???? ???????. ????? ????? ??.2.18 ??????.']"
32,02/02/2022,"29,026","15,110",Rs.2.18 Cr,normal,+86°,Partly cloudy,"['\n?????? ?????? ????????? ??????? ??????????\n\n-????????? ????????????? ???? ?????????????? ????', '\n?????? ?????? ????????? ??????? ??????????\n\n-????????? ????????????? ???? \n@VSReddy_MP\n ????']"
