,Date,Piligrims,Tonsures,Hundi,Special Day,Temperature,Condition,Tweets
95,06/04/2022,"68,009","39,518",Rs.4.10 Cr,normal,+95°,Broken clouds,"['\n37 ????????? ?????? ??? ????? ???????? ????? ??????? ???? ???????????? ???? ????????...\n\n????? ?????? ???????? ????? 2019 ???? ???? ???????? ??????.. ? ???????????? ?????????? ?????????? ??????????..', '\nLineman agilities back at it at 6:00 am!! Some things we got done today. 6-11 grade impressed with the turnout. ']"
96,07/04/2022,"65,840","34,135",Rs.4.19 Cr,normal,+95°,Clear sky,[]
97,08/04/2022,"60,790","35,106",Rs.4.36 Cr,Vayalpadu Sri PRS Pattabhishekam Ends,+95°,Clear sky,[]
98,09/04/2022,"70,727","38,970",Rs.3.88 Cr,normal,+93°,Clear sky,['\nNever donate even one Rupee to Hundi of ']
99,10/04/2022,"66,593","31,206",Rs.3.79 Cr,"Mahanavami , Tirumala Sri TT Rathotsavam",+93°,Broken clouds,['\nHUGE turn out at the Best Buddies Walk 2022! SHEN PRIDE  ']
100,11/04/2022,"63,223","34,547",Rs.4.72 Cr,"Ekadasi, Chaturmasyam Ends",+93°,Broken clouds,['\n???? ?????? ??????? ???????????? ???? ????? ??? \nYash  visited Tirumala Tirupati Temple today.']
101,12/04/2022,"72,567","40,468",Rs.4.32 Cr,"Gita Jayanthi, Ekadasi",+95°,Broken clouds,[]
102,13/04/2022,"88,748","38,558",Rs.4.82 Cr,normal,+91°,Broken clouds,"['', '\n??????? ???????? ???????? ??????? ?????? ?????: ????? Tirupati \n@JanaSenaParty\n @PawanKalyan', '\n? ????? 5000 ????, ? ????? 10000 ???? ??? ?????? ??????? ?????? ???????? ???? ????????? ????????? ?? ?????? YV ???????????? ???????', '', '\n25,000 devotees have Sarva Darshan at ', '', '\n???????? ??????? ?????? ?????.. ?????????????? 20 ???? ????, ???? ????? ? ??? 17 ???? ????? ??????\u200c ???????? ?????']"
103,14/04/2022,"82,722","33,678",Rs.5.11 Cr,"Tamil New Year?s Day, DR. B.R Ambedkar Jayanthi. Sri TT Vasanthotsavam Begins, Vayalpadu Sri PRS Brahmotsavam Ends, Tirupati SRI KRT Float Begins",+97°,Few clouds,"['\n????? ??????????? ?????????\n????????? ????. ', '\n?????????? ?? ??? ?????? ??? ??????\n?????? ????? ?????? ?????? ', '\n??????????? ???? ???? ?????????? ??????????? ?????? ???? ?????? ????? ????????? ????????? ', '\n?????? :\n????????? ???????? ??????\n\n???????? ??????? ?????????? ?????????\n\n????????????? ??????????? ?????????????? ?????????\n\n??????? ???????? ?????????, ??????? ??????\n@yvsubbareddymp', '\n??????: ????????? ???????? ???? ?????????? ?????? ??????. ????? ?????????? ????????????? 88,748 ???? ???????. ????????? ???? ???? ?????? ???????????? ????????????? 46,400 ???? ???????. 300 ?????? ???????? ?????? ????? ???? ???? ?????? ????????????? 25,819 ????.']"
104,15/04/2022,"75,110","34,241",Rs.4.0 Cr,Vontimatta Sri Kodandaramaswamy Temple Pushpayagam,+99°,Broken clouds,"['\n?????? ?? ???? ?????? ???????????. ', '\n??????: ???????????? ??????? ?????. ??????? ???? ??????????? ?? ?????????? ???????? ???????. ?????????????? 12 ???? ????. ???? ?????? ???? ?????????? ????????????? 35 ??? ???? ???????. ???????? 80 ??? ???? ???????? ???????????.', '\n???????? ????????? ???????.. ??????? ???? ???????????\u200c???? ????? ????????\u200c??????? ????? ????? ???? ?????? ??? ????????\u200c.. ?????????????? 20 ???? ????.. ???????\u200c ???? ????? ??????\u200c ???????? ????? ????? ??????', '\n‘ ', '\n??????? ?????????? ?????  82,722 ???? ??????? ????????????????, ???????? ?????????? 33,678 ???? ???????, ????? ????? ??.5.11 ??????.\n\n ', '\n??????: ????? ?????????? ????????????? 82,722 ???? ???????, ???????? ?????????? 33,678 ???? ???????, ????? ????? ??.5.11 ??????']"
105,16/04/2022,"76,746","31,574",Rs.4.62 Cr,normal,+100°,Few clouds,['']
106,17/04/2022,"68,299","26,421",Rs.4.90 Cr,normal,+97°,Partly cloudy,"['\nSuccessfully Completed 296/1008th ', '\n???? ?????? ? ???? ??????: ?????? ??????? ????????? ??????? ???????????\u200c ?????? ????? ???????? ?????? ?????? ?????.\n????????? ?????????? ? ???????????? ????????? ?????? ?????? ???????????\u200c ?????? ???? ?????? ????? ???????? ??????? ????????? ???????????.', '\n???????? ???????? ?????? ????????\n\n?? 1 ????? ????? ?????????? ????????????? ?????????? ??????...', '', '\n????? ??????????? ???????? ??????????? ??????? ?????? ??????? ???? ?????????????. ????????? ??????? ????? ?????? ??????????? ? ??????? ? ??????? ??????? ??????????? ???? ?????? ???? ', '\n??????: ????? ?????????? ????????????? 76,746 ???? ???????, ???????? ?????????? 31,574 ???? ???????, ????? ????? ??.4.62 ??????']"
107,18/04/2022,"64,157","29,720",Rs.3.84 Cr,normal,+93°,Few clouds,"['', '\nToday had a blissful Dharshanam of Lord Venkateswara Swamy at Tirumala along with Family members. Prayed for the well-being of everyone\n Om Namo Venkateshaya ', '\n?????????? ???????? ???????? ??????? ?????. ', '\n????????? ???? ????? ?????? ?? ??????????? ?????? ??????? ?????\n\n???????????????? ??? ???????? ????, ????? ????????? ???? ???????? ???????? ???? ????? ??????? ???????....', '\n????????? ???? ????? ?????? ?? ??????????? ?????? ??????? ?????. \n\n???????????? ???? ??? ???????? ????, ????? ????????? ???? ???????? ???????? ???? ????? ????? ??  ??????? ', '\n??????: ????? ?????????? ????????????? 68,299 ???? ???????, ???????? ?????????? 26,421 ???? ???????, ????? ????? ??. 4.9 ??????']"
108,19/04/2022,"67,858","28,536",Rs.4.15 Cr,normal,+97°,Few clouds,"['\nSrinivasa Sethu Pillars \n\nCredits: @dinesh_royal_96 ', '\n??????: ????? ?????????? ????????????? 64,157 ???? ???????, ???????? ?????????? 29,720 ???? ???????, ????? ????? ??.3.84 ??????']"
109,20/04/2022,"66,745","30,780","Rs.5.14 Cr
Wait",normal,+99°,Few clouds,"['\n? ????? ?????? ?????????? 67,858 ???? ??????? ????????????????. ???????? ?????????? 28,536 ???? ???????, ????? ????? ??. 4.15 ??????']"
110,21/04/2022,"61,278","30,585","Rs.4.32 Cr
Wait",normal,+99°,Clear sky,"['\n2000 devotees on normal weekdays \nOver 40000 devotees visiting on Festival days ', '\n?????? ??????? ? ???? ???????? ?????????? ???????????? ?????? ???? ??? ??????????? ????????? ????????...']"
111,22/04/2022,"63,084","28,563","Rs.3.12 Cr
Wait",normal,+99°,Few clouds,"['\n?????? ??????  ?????????? 61,278 ???? ??????? ????????????????. ???????? ?????????? ??????? 30,525 ????. ????? ????? ??.4.32 ??????', '\n??????:???????? ?????????? ????????? ???????. 21 ???????????????? ???? ????? ???????. ?????????????? 24 ???? ????']"
112,23/04/2022,DEF,XYZ,ABC,normal,+97°,Broken clouds,"['\n?????? ?????? ?????????? 63,084 ???? ??????? ????????????????. ???????? ?????????? 28,563 ???? ???????. ????? ????? ??.3.12 ??????.']"
113,24/04/2022,"75,438","29,440","Rs.4.28 Cr
Wait","Sravanam, Nagulapuram Sri VNS Brahmotsavam Ends",+99°,Broken clouds,"['\n??????: ???????? ?????? ?????? ?????. 6 ???????????????? ????????? ???????. ?????????????? 3 ???? ????. ????? ?????????? ????????????? 75,748 ???? ???????. ???????? ?????????? 35,348 ???? ???????. ????? ????? ??,3.89 ??????']"
114,25/04/2022,"65,763","33,758","Rs.4.29 Cr
Wait",normal,+100°,Clear sky,[]
115,26/04/2022,"67,681","31,738","Rs.4.54 Cr
Wait",normal,+100°,Clear sky,"['\n?????? ??? ???????? ????????? ????????????!\n????? ????? ??????????????????\u200c ???????? ?????????\n\n???????? ?????? ???????? ???????? ??????\n????? ???????? ????? ??? ????????????\u200c', '\n? ????? ?????? ??????????  65,763  ???? ??????? ????????????????. ???????? ?????????? 33,758 ???? ???????. ????? ????? ??. 4.29 ??????.']"
116,27/04/2022,"75,078","34,674","Rs.4.34 Cr
Wait",Ekadasi,+102°,Few clouds,['\nThis is heaven  \n\nCredits: \n@isatyamurthy\n ']
117,28/04/2022,"64,380","31,204","Rs.4.75 Cr
Wait",normal,+100°,Clear sky,[]
118,29/04/2022,"65,725","30,346","Rs.4.54 Cr
Wait",Masa Shivratri,+102°,Few clouds,[]
119,30/04/2022,"75,010","31,116","Rs.3.59 Cr
Wait",Amavasya,+102°,Few clouds,[]
120,01/05/2022,"72,904","30,702","Rs.4.70 Cr
Wait",Sravanam,+102°,Clear sky,"['\nAs a practicing ', '\n??????: 9 ???????????????? ????????? ???????. ?????????????? 8 ???? ????. ????? ?????????? ????????????? 75,010 ???? ???????. ???????? ?????????? 31,116 ???? ???????. ????? ????? ??.3.59 ??????']"
121,02/05/2022,"65,756","34,774","Rs.4.60 Cr
Wait",Vasantha Panchami,+99°,Partly cloudy,"['\n????????? ??????? ?????? ????? ?????????? 2,020 ???? ??????????? ??????? ????? ????????? ???? ?????? ??????????? ????????????. (2/2)\n@ysjagan\n @AndhraPradeshCM\n @yvsubbareddymp\n @TTDevasthanams', '\n?????? ???????? ????? ?????.. ?????? ???????? ????? ???????\u200c??? ???????? ?????????? ?????? ??????? ???? ??? ????????? ???????????? ?????? ???? ???? ???????? ??????????? ????????. (1/2)', '']"
122,03/05/2022,DEF,XYZ,ABC,normal,+97°,Few clouds,[]
123,04/05/2022,"69,603","30,434","Rs.3.84 Cr
Wait",Krittika,+95°,Partly cloudy,"['\n???????? ????? ?????????? ????????? ??????\n\n???? ????? ???????? ?????? ?????? ?????? ???????? ??????', '']"
124,05/05/2022,"59,528","29,995","Rs.3.91 Cr
Wait",Sri Ramanuja Jayanthi,+84°,Partly cloudy,"['', '\n??????? : ?????????????? ?????????? ???????????? ?????? ??????? ???? ????????????. ?? ????? ??????\u200c?? ??????? ???????? ?????????????? ?????? ???????? ??????????.  ??.3.60 ????? ??????? ????????????? ??????? ????? ?????? ?????.-???? ????????????']"
125,06/05/2022,"63,265","31,217","Rs.3.50 Cr
Wait",Tirupati Sri Govindaraja Swamy Temple Brahmotsavam Begins,+91°,Broken clouds,"['\n??????: ????? ?????????? ????????????? 59,528 ???? ???????, ???????? ?????????? 29,995 ???? ???????, ????? ????? ??.3.91 ??????']"
126,07/05/2022,"76,324","38,710","Rs.4.73 Cr
Wait","Tirupati Sri Govindarajaswamy Pushpa Yagam, Srinivasa Mangapuram Sri KVS Sakshatkara Vaibhavolsavam Ends",+97°,Partly cloudy,"['\n?????? ????????? ????????? ???? ???????? ??????????? ?????\u200c ?????????? ???????? ???????????? ???? ????? ???? ?????????? ??????. ??????? ???? ??? ????? ???????????? ??.300 ????? ??????? ?????? ??????????? ?????????? ?????????????.', '\n?????? ????????? ????????? ???? ???????? ??????????? ?????\u200c ?????????? ???????? ???????????? ???? ????? ???? ?????????? ??????. ??????? ???? ??? ????? ???????????? ??.300 ????? ??????? ?????? ??????????? ?????????? ?????????????.', '\n??????: ????? ?????????? ????????????? 63,265 ???? ???????, ???????? ?????????? 31,217 ???? ???????, ????? ????? ??.3.5 ??????']"
127,08/05/2022,"75,876","32,164","Rs.4.64 Cr
Wait",Varalakshmi Vratham,+91°,Broken clouds,[]
128,09/05/2022,"69,154","29,617","Rs.4.27 Cr
Wait","Teachers? Day, Tirupati Sri GT Pavitrotsavam Begins",+93°,Broken clouds,[]
129,10/05/2022,"61,090","26,316","Rs.4.52 Cr
Wait","Sravanam, Vijayadasami, Tirumala Sri TT Brahmotsavam Ends, Tiruchanoor Sri PAT Navarathri Ends",+86°,Drizzle,['\n???? ?????????? ?????? ????????? ???? ????? ???? 10.05.2022 ? ????? ??????? ???? ? ??????? ????????? ???? ?????????? ?????? ?????...\n\nPics: Krishna Reddy ']
130,11/05/2022,"61,863","30,135","Rs.3.27 Cr
Wait","Kaisika Dwadasi, Ksheerabdhi Dwadasi",+84°,Overcast clouds,"['\n???????: ?????????????? 3 ???? ????. ????? ?????????? ????????????? 61,090 ???? ???????. ???????? ?????????? 26,316 ???? ???????. ????? ????? ??.4.52 ??????.', '\n??????: 3 ???????????????? ????????? ???????. ?????????????? 3 ???? ????. ????? ?????????? ????????????? 61,090 ???? ???????. ???????? ?????????? 26,316 ???? ???????. ????? ????? ??.4.52 ??????.']"
131,12/05/2022,"61,087","30,271","Rs.3.39 Cr
Wait",Chakrateertha Mukkoti,+79°,Thunderstorm with rain,[]
132,13/05/2022,"62,001","32,303","Rs.4.03 Cr
Wait","Hrishikesh, Narayanavanam Kalyana Venkateswara Swamy Temple Begins",+82°,Light rain,"['\n???????: ???? ???? ?????????????? 6 ???? ????. ????? ????????????  61,087 ???? ??????? ????????????????. ???????? ?????????? 30,271 ???? ???????. ????? ????? ??. 3.39 ??????']"
133,14/05/2022,"81,107","43,531","Rs.3.21 Cr
Wait","Nrusimha Jayanthi, Tiruchanoor Sri PAT Vasantotsavam Begins",+90°,Thunderstorm with rain,"['\nShout out to our Varsity players for giving back to the Junior Plainsmen community! These boys volunteer every Saturday morning to ref the JP Flag league \n\nTHANK YOU BOYS!! ', '\nHathiram Bhavaji Playing Dice with Lord Venkateswara \n\nCredits: \n@sreenu19\n @rays_of_tirupati', '\n??????: ????? ?????????? ???????? ?? ??????? ????????????? ????????? ?????????', '\nThe bobcats just got better!!!! ']"
134,15/05/2022,"81,720","34,266","Rs.3.95 Cr
Wait","Sri Koorma Jayanthi, Sri Tarigonda Vengamamba Jayanthi",+88°,Thunderstorm with rain,"['\n??????: 17 ???????????????? ????????? ???????. ?????????????? 7 ???? ????. ????? ?????????? ????????????? 81,107 ???? ???????. ???????? ?????????? 43,531 ???? ???????. ????? ????? ??.3.21 ??????']"
135,16/05/2022,"72,567","34,718","Rs.4.20 Cr
Wait","Annamacharya Jayanthi, Pumima, Tirupati Sri KT Patra Pushpayagam",+86°,Heavy rain in places,"['\n???? 614 ? ???????? ????? ???????? ??????????? ?????????? ???????? ????????? ???????? ??????? ????? ????????? ???? ??????????? \n???????? ???????? ?????? ??????? ?????????. \n?? ???? ????? ???? ?????? ???? ???????? ??????? ??????? ???????????', '\n????? ???????? ??????? ??????????...!| \n@ABPDesam\n ', '\nBefore ']"
136,17/05/2022,"75,400","32,223","Rs.4.02 Cr
Wait","Tirupati Gangajatara Ends, Tiruchanoor Sri PAT Vasantotsavam Ends",+84°,Thunderstorm with rain,[]
137,18/05/2022,"74,389","38,007","Rs.4.35 Cr
Wait",normal,+86°,Moderate rain,"['', '\n???????? ???????? ??????.. ?????????? ???? ??? !\n@ysjagan\n @TTDevasthanams\n @yvsubbareddymp', '\n??????: ?????????????? 6 ???? ????, ????? ?????????? 75,400 ???? ??????? ????????????????, ???????? ?????????? 32,223 ???? ???????, ????? ????? ??.4.02 ??????\n ']"
138,19/05/2022,"67,625","34,584","Rs.4.05 Cr
Wait",Srinivasa Mangapuram Sri KVS Vasantotsavam Begins,+90°,Clear sky,"['\n? ????? ?????? ??????????  74,389 ???? ??????? ????????????????. ???????? ?????????? 38,007 ???? ???????, ????? ????? ??.4.35 ??????']"
139,20/05/2022,"71,119","37,256","Rs.3.91 Cr
Wait",normal,+88°,Partly cloudy,[]
140,21/05/2022,"83,739","46,187","Rs.4.20 Cr
Wait","Hrishikesh, Narayanavanam Sri Kalyana Venkateswara Swamy Temple Ends, Sravanam, Nagulapuram Sri VNS Pushpayagam, Srinivasa Mangapuram Sri KVS Vasantotsavam Ends",+90°,Clear sky,[]
141,22/05/2022,DEF,XYZ,ABC,normal,+95°,Broken clouds,"['\n????????? ??????? ?????? ?????????? ???????? ??????????? ??????? ????? ????????? ???? ?????? ??????????? ????????????.\n@AndhraPradeshCM\n @ysjagan\n @ArogyaAndhra\n @TTDevasthanams\n @yvsubbareddymp', '\n???????? ???? ????????? ?????? ???????????.\n@ysjagan\n @TTDevasthanams\n @yvsubbareddymp\n ']"
142,23/05/2022,"75,324","35,086","Rs.5.03 Cr
Wait",Karvetinagaram Sri Rukmani Sathyabama Sametha Sri Venugopala Swamy Temple Brahmotsavam Begins,+97°,Few clouds,"['\n??????: 19 ???????????????? ????????? ???????, ?????????????? 7 ???? ????, ????? ?????????? ????????????? 89,665 ???? ???????, ???????? ?????????? 35,794 ???? ???????, ????? ????? ??.3.98 ??????']"
143,24/05/2022,"75,759","31,050","Rs.4.41 Cr
Wait",normal,+97°,Partly cloudy,"['\nTTD \nTeka Teki Doran\n\nHayo Sobat Doran bisa jawab teka-teki dari Mindo nggak? \nYuk, buat yang bisa langsung aja tulis jawaban kamu di bawah! ']"
144,25/05/2022,"75,759","39,208","Rs.5.43 Cr
Wait",Hanuman Jayanthi,+88°,Partly cloudy,"['\n???? ?? ?????? ???????? ??????? ????? ???????????? \n\nLocation: Japali Anjaneya Swamy Temple,Tirumala \n\nCredits: @iam_vijay47 ']"
145,26/05/2022,"72,758","40,504","Rs.4.83 Cr
Wait","Ekadasi, Mahee Jayanthi",+91°,Clear sky,"['\n??????: 29 ???????????????? ????????? ???????, ?????????????? 7 ???? ????, ????? ?????????? ????????????? 76,148 ???? ???????, ???????? ?????????? 39,208 ???? ???????, ????? ????? ??.5.43 ??????']"
146,27/05/2022,"73,358","41,900","Rs.4.11 Cr
Wait",normal,+91°,Clear sky,[]
147,28/05/2022,"89,318","48,539","Rs.3.76 Cr
Wait",Masa Shivratri,+97°,Clear sky,"['\n??????? ???? ??????? ???????????? ???? ?????????? ?????..???? ?????? ????????? ??? ???.. ???? ???? ???????? ??????????.??? ????!', ""\n'?????? ?????? ????????? ????????????' ??? ???? ????? ?????? ?? ?????? ??????? ???????????? \n@RojaSelvamaniRK\n ???????""]"
148,29/05/2022,"90,885","35,707","Rs.4.18 Cr
Wait","Krittika, Kartari Ends",+97°,Few clouds,"['\n????????? ???????? ???? ???????????? ???????? ?????.. ???? 9? ?????? ?????? ????????, ??? ?????????? ?????????? ?????????????? ??????', '\n???????? ?????????? ?????? ?????. ??????? ???????????????\u200c???? ????? ?????????? ???????????. ????????? ??????????? ??????? ?????? ?????? ????? ???? ????????????. ???????? ???? ?????????? 24 ?????? ???? ???? ????????. ????? ???????? ?????? ????? ????? ??? ???????????. ', '\n???????? ???????? ??????.. ????????? ???????????!\n@ysjagan\n @TTDevasthanams\n @yvsubbareddymp\n ', '\nHeavy crowds at Tirumala..! \n\nBhagavad as who have already planned or planning to go to Tirumala, please consider postponing your Tirumala Yatra for some days. ']"
149,30/05/2022,"74,823","31,159","Rs.4.51 Cr
Wait","Karvetinagaram Sri VGS Rathotsavam, Amavasya",+97°,Few clouds,"['\n??????: ?????? ?????? ???????? ???????? ?????????? ????????????? ???????. ????? ??????? ?????????? ????????????? ????? 80 ??? ???? ???????.', '\n??????: ???????????? ?????. 18 ???????????????? ????????? ???????. ?????????????? 6 ???? ????. ????? ?????????? ????????????? 90,885 ???? ???????. ???????? ?????????? 35,707 ???? ???????. ????? ????? ??.4.18 ??????. ']"
150,31/05/2022,"69,848","28,716","Rs.4.34 Cr
Wait","Rohini, Karvetinagaram Sri Rukmani Sathyabama Sametha Sri Venugopala Swamy Temple Brahmotsavam Ends",+97°,Light intensity shower rain,"['\nFrom Tomorrow Onwards No plastic allowed to tirumala from Devotees side and severe checking will be there at Alipiri Tollgate And plastic materials will be Taken from devotees So please carry alternative’s like glass bottles etc,\n4\n16\n74\nBhakthiTV\n@BhakthiTVorg\n·', '\n??????? ???????? ????? ?????! \n???\u200c?? ????? ?????\u200c?\u200c?? ??????????\u200c?? ???????? ??????.', '\n??????? ???????? ????? ?????! \n???\u200c?? ????? ?????\u200c?\u200c?? ??????????\u200c?? ???????? ??????.', '\n???????? ???? 1 ????? ???????? ?????????? ??????.. ??????? ???? ???? ???? ??????? ?????????? ?????????? ???? ?????????? ??????? ???????? ???????????.. ??????????? ??????????\u200c?? ????????????? ??????? ??????????-??????', '\n???????? ???? 1 ????? ???????? ?????????? ??????.. ??????? ???? ???? ???? ??????? ?????????? ?????????? ???? ?????????? ??????? ???????? ???????????.. ??????????? ??????????\u200c?? ????????????? ??????? ??????????-??????', '\nFor 12,13,14 dates of June month , Spl entry ticks is available for ', '\n???????: ?????????????? 5 ???? ????. ????? ?????????? ????????????? 74,823 ???? ???????. ???????? ?????????? 31,159 ???? ???????. ????? ????? ??.4.51 ??????.']"
151,01/06/2022,"71,914","37,234","Rs.4.39 Cr
Wait",normal,+93°,Light rain,[]
152,02/06/2022,"66,001","38,831","Rs.4.01 Cr
Wait",normal,+95°,Heavy rain in places,['\n???????? ?????????? ??????.']
153,03/06/2022,"71,196","36,936","Rs.3.45 Cr
Wait",normal,+95°,Clear sky,[]
154,04/06/2022,"90,165","43,362","Rs. Cr 4.18
Wai","Rohini, Vayalpadu Sri PRS Brahmotsavam Begins, Tirupati Sri KRT Rathotsavam",+91°,Broken clouds,"['\n??? ?????? ?????? ????????? ???? ??????? ?????? ??????? ???? ???? ???????????? ????\n24 ??????? ??? ???????? ?????? ?????? ???????? ?????? ???????? ???????\n-  ??????? ???? ????? ???????? ?????? ?????????', '', '\n??? ?????? ?????? ????????? ???? 24 ??????? ??? ???????? ?????? ?????? ???????? ?????? ???????? ??????? ???????? ?????? ??????? ???? \n@yvsubbareddymp\n ???? ', '\n???????? ???????????? ?????? ?????. ??????? ???????????????\u200c ????? 3 ?????????? ???? ????. ???????? ?????????? 15 ???? ????. ???????? ?????????? 3 ???? ????.']"
155,05/06/2022,"78,188","35,427","Rs. Cr 3.94
Wai",Sri Sankara Jayanthi,+95°,Heavy rain in places,[]
156,06/06/2022,"76,921","39,568","Rs.4.40 Cr
Wait",normal,+95°,Partly cloudy,"['\n???????? ??????? ?????? ?????? ???? ???? ????????? ??????? ?????????? ???????? ?????????? ???????? ????????????? ???????.', '\n?????? ???????? ????? ???????? ?????????? ????????????? ????????.', '\n?????? ?????????? ?????? ???? ??????.. \n\n???????? ?????????? ??? ????????\n\n???????? ?? ?????? ??????? 10 ?????? ?????? ?????????', '\nAs part of the ', '']"
157,07/06/2022,"76,425","36,053","Rs.4.15 Cr
Wait",normal,+91°,Broken clouds,"['\n??????: 29 ???????????????? ????????? ???????. ?????????????? 9 ???? ????. ????? ?????????? ????????????? 76,921 ???? ???????. ???????? ?????????? 39,568 ???? ???????. ????? ????? ??.4.4 ??????']"
158,08/06/2022,"75,345","36,091","Rs.4.52 Cr
Wait",Tangonda Vengamamba Vardanti,+95°,Partly cloudy,"['\n???? ?????????? ???????? ?????? ??? ??????????....', '\n??????? ???? ?????????? ??????']"
159,09/06/2022,"70,019","36,124","Rs.3.52 Cr
Wait",Ekadasi,+90°,Moderate rain,[]
160,10/06/2022,"67,949","39,837","Rs.3.70 Cr
Wait","Tirumala Sri TT Back Savari Utsavam, Ekadasi",+97°,Broken clouds,"['\n?????? ???? ????\u200c?? ?????? ???????\u200c\n\n??????????? ???????? ?????? ????? ???????????, ?????? ???????? ????????? ???????? ???????????, \n\n? ???????? ???? ???? ????? ?????????? ?????? ??????????????-??????', '\n??????: ?????? ???? ????\u200c?? ?????? ???????\u200c, ??????????? ???????? ?????? ????? ???????????, ?????? ???????? ????????? ???????? ???????????, ? ???????? ???? ???? ????? ?????????? ?????? ??????????????-??????', '\n?? ????? ???????? ???????? ???????? ????? ?????\n\n?????? ???????? ??? ????? ??. 130 ????? ????? ?????', '\n???????? ?????? ?????? ????????.. ???? ??? ???????? ??????? ??? ??????? !\n@ysjagan\n@AndhraPradeshCM\n@TTDevasthanams\n@yvsubbareddymp', '\n???????? ?????? ?????? ????????.. ???? ??? ???????? ??????? ??? ??????? !', '\n???????? ?????? ?????? ????????.. ???? ??? ???????? ??????? ??? ??????? !\n@ysjagan\n @AndhraPradeshCM\n @TTDevasthanams\n @yvsubbareddymp\n ']"
161,11/06/2022,"87,698","48,804","Rs.3.88 Cr
Wait",normal,+97°,Broken clouds,"['\n???????? ??.300 ???????? ?????? ??????\u200c ???????? ????????, ??? ????????? ?????????? ?????????? ????????? ???????????\u200c ???????, ??.300 ??????\u200c ??? 8 ???? ???????? ????? ???????, ????\u200c ?????????\u200c?? ?????????? ??????????\u200c', '\n????????? ??????????? ???????? ????????.. ?????? ???? ?????????\u200c ???????\u200c ????????\n?????????? ?????? ???? ?????????\u200c ????? ???????\u200c ????????? ??????????? ?????? ???????? ???????? ????????????. ????? ?????? ???????? ?????? ???????????. ', '\nView from Tirumala Ghat road\n\nPhotos: \n@_p\n.r.e.m_s.a.g.a.r_ ', '', '', '', '\n?????? ?????? ??????????? ????????????. ', '\n??????: ??????? ???? ??????????? ???? ?????????????????? ????????? ???????? ????? ?????? ???? ???? ?????? ????????? ???????. ?????????????? 25 ??.? ????.????? ?????????? ????????????? 67,949  ???? ???????. ???????? ?????????? 39,837 ???? ???????. ????? ????? ??.3.70 ??????.']"
162,12/06/2022,"93,400","39,451","Rs.3.75 Cr
Wait",Tirupati Sri KT Krittika Deepotsavam,+97°,Partly cloudy,"['\n??????: ?????? ?????. ??????? ????  ??????????? ?????????????????? ????????? ?????? ???? ?????? ????????? ???????. ?????????????? 12 ???? ????. ????? ?????????? ????????????? 87,698 ???? ???????. ???????? ?????????? 48,804 ???? ???????. ????? ????? ??.3.88 ??????.']"
163,13/06/2022,"78,602","42,423","Rs.4.32 Cr
Wait",Tirupati Sri Govindaraja Swamy Temple Brahmotsavam Ends,+97°,Broken clouds,"['', ""\nWhy should governments dip their hands into Hindu Temples ?\n\nWill they ever dare collect 'contribution' from churches or mosques ?\n\nHindu Rashtra Sansad"", '\n????????? 11 ???????????????? ????????? ???????, ???????? ?????????????? 6 ???? ????, ????? ?????????? ????????????? 93,400 ???? ???????, ????? ????? ??.3.75 ??????\n ']"
164,14/06/2022,"79,103","37,292","Rs.4.42 Cr
Wait","Tirumala Sri TT Jyestabhishekam Ends. Eruvaka Purnima, Tiruchanoor Sri PAT Float Ends",+95°,Broken clouds,[]
165,15/06/2022,"77,326","38,742","Rs.4.36 Cr
Wait",normal,+91°,Partly cloudy,"['\nTirumala - Tirupati \n\nCredits: @gowtham_akula_4_3_2_k ', '\n???? ??????? ?????? ???????????? ???? ????? ????????? ???? ????????? ??????????? ????????? ???? ????? ????? ????? ???? ???????, ???????? ??????????????? ??????? ??? ?????? ???????????? ??????????????.']"
166,16/06/2022,"73,371","39,924","Rs.4.14 Cr
Wait",normal,+90°,Heavy rain in places,"['\n??????: 30 ???????????????? ????????? ???????, ???????? ?????????????? 12 ???? ????, ????? ?????????? ????????????? 77,326 ???? ???????, ???????? ?????????? 38,742 ???? ???????, ????? ????? ??.4.36 ??????']"
167,17/06/2022,"76,407","39,938","Rs.4.28 Cr
Wait",normal,+86°,Heavy rain in places,[]
168,18/06/2022,"84,982","46,679","Rs.4.42 Cr
Wait","Sravanam, Appalayagunta Sri Prasanna Venkateswara Swamy Temple Brahmotsavam Ends",+86°,Heavy rain in places,"['\n??????? ??????? ???? ?????? ?????? ???????? ???? ?????? ?????????? ?????? ??????????  ??????????.. \n\n ?? ??? ????????', '\n???? ?????????? ?????? ???? ???????????????? ????????????? ??????? ?? ????????? ?????? ??????? ???? ???? ???????????? ???? ???????\n@yvsubbareddymp\n ']"
169,19/06/2022,"90,471","37,039","Rs.4.13 Cr
Wait",normal,+88°,Thunderstorm with rain,['\n????? ???????? ???? ?????????? ?????? ?????????? ????????? ???? ?? ']
170,20/06/2022,"76,597","37,759","Rs.4.47 Cr
Wait",Tiruchanoor Sri PAT Sundararaja Swamy Avatarotsavam Begins,+88°,Partly cloudy,[]
171,21/06/2022,"74,906","36,138","Rs.4.07 Cr
Wait",normal,+86°,Thunderstorm with rain,"['\n??????: 28 ???????????????? ????????? ???????. ?????????????? 8 ???? ????. ????? ?????????? ????????????? 76,597 ???? ???????. ???????? ?????????? 37,759 ???? ???????. ????? ????? ??.4.47 ??????.', '\n?? ??? ????????? ']"
